t_ms,id,x,y,vx,vy,v,x_plus_1,y_plus_1
272000,46,0.359429,2.033143,-0.272000,-0.116571,0.295927,-0.272000,1.596000
272250,46,0.301143,2.013714,-0.233143,-0.077714,0.245754,-0.485714,1.460000
272500,46,0.281714,1.984571,-0.077714,-0.116571,0.140101,-0.757714,1.382286
272750,46,0.165143,1.906857,-0.466286,-0.310857,0.560406,-0.835429,1.217143
273000,46,-0.272000,1.596000,-1.748571,-1.243429,2.145604,-1.185143,1.246286
273250,46,-0.485714,1.460000,-0.854857,-0.544000,1.013270,-0.922857,1.139429
273500,46,-0.757714,1.382286,-1.088000,-0.310857,1.131537,-1.214286,1.285143
273750,46,-0.835429,1.217143,-0.310857,-0.660571,0.730059,-1.165714,1.236571
274000,46,-1.185143,1.246286,-1.398857,0.116571,1.403706,-1.262857,1.324000
274250,46,-0.922857,1.139429,1.049143,-0.427429,1.132871,-1.301714,1.256000
274500,46,-1.214286,1.285143,-1.165714,0.582857,1.303308,-1.311429,1.294857
274750,46,-1.165714,1.236571,0.194286,-0.194286,0.274761,-1.253143,1.275429
275000,46,-1.262857,1.324000,-0.388571,0.349714,0.522769,-1.340571,1.256000
275250,46,-1.301714,1.256000,-0.155429,-0.272000,0.313276,-1.243429,1.256000
275500,46,-1.311429,1.294857,-0.038857,0.155429,0.160212,NaN,NaN
275750,46,-1.253143,1.275429,0.233143,-0.077714,0.245754,NaN,NaN
276000,46,-1.340571,1.256000,-0.349714,-0.077714,0.358245,NaN,NaN
